8 Segments for uniformly spaced sigmoid values between 0.5 and 0.982014, corresponding to non-uniformly spaced inputs in the range [0, 4]
(j         index.      sigmoid-x       sigmoid-x_bf16   sigmoid-x_FP:3int.7frac  sigmoid_bf16_float      error)
(0.500000,    1,       -0.000000,    1000000000000000,  000_0000000,              -0.000000,              0.0000)
(0.560252,    2,       0.242184,     0011111001111000,  000_0011110,              0.242188,              -0.0000)
(0.620503,    3,       0.491686,     0011111011111100,  000_0111110,              0.492188,              -0.0005)
(0.680755,    4,       0.757244,     0011111101000010,  000_1100000,              0.757812,              -0.0006)
(0.741007,    5,       1.051208,     0011111110000111,  001_0000110,              1.054688,              -0.0035)
(0.801259,    6,       1.394179,     0011111110110010,  001_0110010,              1.390625,              0.0036)
(0.861510,    7,       1.827891,     0011111111101010,  001_1101001,              1.828125,              -0.0002)
(0.921762,    8,       2.466533,     0100000000011110,  010_0111011,              2.468750,              -0.0022)
(0.982014,    9,       4.000000,     0100000010000000,  100_0000000,              4.000000,              0.0000)

4 segments for uniformly spaced x-values between 4 and 8, corresponding to non-uniformly spaced sigmoid values in the range [0.982014, 1.0]
(j         index       sigmoid-y     sigmoid-y_bf16     sigmoid-y_FP:3int.7frac   sigmoid_bf16_float     error)
(4.000000,    1,       0.982014,     0011111101111011,  000_1111101,              0.980469,              0.0015)
(5.000000,    2,       0.993307,     0011111101111110,  000_1111111,              0.992188,              0.0011)
(6.000000,    3,       0.997527,     0011111101111111,  000_1111111,              0.996094,              0.0014)
(7.000000,    4,       0.999089,     0011111110000000,  000_1111111,              1.000000,              -0.0009)
(8.000000,    5,       0.999665,     0011111110000000,  000_1111111,              1.000000,              -0.0003)
